,action_set,policy_type,direct_solution,iterative_solution,discount_factor,mean_time_direct,mean_time_iterative,time_difference,mean_accuracy_direct,mean_accuracy_iterative,accuracy_difference
13,default,optimal,"[0.11602906 0.17850625 0.274625   0.17850625 0.17850625 0.
 0.4225     0.         0.274625   0.4225     0.65       0.
 0.         0.65       1.         0.        ]","[0.11602906 0.17850625 0.274625   0.17850625 0.17850625 0.
 0.4225     0.         0.274625   0.4225     0.65       0.
 0.         0.65       1.         0.        ]",0.65,0.00027831792831420896,0.0009853458404541016,0.0007070279121398926,33.875,33.9375,0.0625
14,default,optimal,"[0.16807 0.2401  0.343   0.2401  0.2401  0.      0.49    0.      0.343
 0.49    0.7     0.      0.      0.7     1.      0.     ]","[0.16807 0.2401  0.343   0.2401  0.2401  0.      0.49    0.      0.343
 0.49    0.7     0.      0.      0.7     1.      0.     ]",0.7000000000000001,0.00026035308837890625,0.0009788739681243896,0.0007185208797454833,33.25,33.25,0.0
15,default,optimal,"[0.23730469 0.31640625 0.421875   0.31640625 0.31640625 0.
 0.5625     0.         0.421875   0.5625     0.75       0.
 0.         0.75       1.         0.        ]","[0.23730469 0.31640625 0.421875   0.31640625 0.31640625 0.
 0.5625     0.         0.421875   0.5625     0.75       0.
 0.         0.75       1.         0.        ]",0.75,0.00037917494773864746,0.0009884655475616456,0.0006092905998229981,3.625,3.625,0.0
16,default,optimal,"[0.32768 0.4096  0.512   0.4096  0.4096  0.      0.64    0.      0.512
 0.64    0.8     0.      0.      0.8     1.      0.     ]","[0.32768 0.4096  0.512   0.4096  0.4096  0.      0.64    0.      0.512
 0.64    0.8     0.      0.      0.8     1.      0.     ]",0.8,0.0003972709178924561,0.0010571837425231933,0.0006599128246307372,32.75,33.0,0.25
17,default,optimal,"[0.44370531 0.52200625 0.614125   0.52200625 0.52200625 0.
 0.7225     0.         0.614125   0.7225     0.85       0.
 0.         0.85       1.         0.        ]","[0.44370531 0.52200625 0.614125   0.52200625 0.52200625 0.
 0.7225     0.         0.614125   0.7225     0.85       0.
 0.         0.85       1.         0.        ]",0.8500000000000001,0.00028357625007629394,0.0009533727169036866,0.0006697964668273926,32.0625,32.0625,0.0
18,default,optimal,"[0.59049 0.6561  0.729   0.6561  0.6561  0.      0.81    0.      0.729
 0.81    0.9     0.      0.      0.9     1.      0.     ]","[0.59049 0.6561  0.729   0.6561  0.6561  0.      0.81    0.      0.729
 0.81    0.9     0.      0.      0.9     1.      0.     ]",0.9,0.0003240382671356201,0.0010401058197021485,0.0007160675525665285,32.25,32.25,0.0
19,default,optimal,"[0.77378094 0.81450625 0.857375   0.81450625 0.81450625 0.
 0.9025     0.         0.857375   0.9025     0.95       0.
 0.         0.95       1.         0.        ]","[0.77378094 0.81450625 0.857375   0.81450625 0.81450625 0.
 0.9025     0.         0.857375   0.9025     0.95       0.
 0.         0.95       1.         0.        ]",0.9500000000000001,0.0003060710430145264,0.0009678351879119873,0.0006617641448974609,32.75,32.6875,0.0625
20,slippery,optimal,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],0.0,0.00048449039459228513,0.0003118288516998291,0.00017266154289245604,0.0,0.0,0.0
21,slippery,optimal,"[2.82723776e-09 8.13364605e-08 4.79602393e-06 8.26900678e-08
 1.63979790e-07 0.00000000e+00 2.82884075e-04 0.00000000e+00
 9.67198038e-06 5.70482863e-04 1.69682485e-02 0.00000000e+00
 0.00000000e+00 1.72510513e-02 1.01724154e+00 0.00000000e+00]","[2.82720851e-09 8.13364571e-08 4.79602393e-06 8.26900673e-08
 1.63979780e-07 0.00000000e+00 2.82884075e-04 0.00000000e+00
 9.67198038e-06 5.70482863e-04 1.69682485e-02 0.00000000e+00
 0.00000000e+00 1.72510513e-02 1.01724154e+00 0.00000000e+00]",0.05,0.00022534608840942382,0.0012526953220367433,0.0010273492336273194,44.5,43.8125,0.6875
22,slippery,optimal,"[1.00062971e-07 1.37967281e-06 3.99104485e-05 1.42537316e-06
 2.80176318e-06 0.00000000e+00 1.15602333e-03 0.00000000e+00
 8.11510692e-05 2.35057924e-03 3.46407896e-02 0.00000000e+00
 0.00000000e+00 3.57954367e-02 1.03571708e+00 0.00000000e+00]","[1.00062963e-07 1.37967281e-06 3.99104485e-05 1.42537316e-06
 2.80176318e-06 0.00000000e+00 1.15602333e-03 0.00000000e+00
 8.11510692e-05 2.35057924e-03 3.46407896e-02 0.00000000e+00
 0.00000000e+00 3.57954367e-02 1.03571708e+00 0.00000000e+00]",0.1,0.00048017144203186033,0.0016964268684387207,0.0012162554264068604,42.9375,43.25,0.3125
